省市,人数
上海市,22
云南省昆明市,1
内蒙古自治区呼和浩特市,1
北京市,9
四川省成都市,1
四川省遂宁市,1
天津市,1
安徽省合肥市,2
山东省日照市,1
山东省济南市,2
山东省青岛市,1
山西省太原市,1
广东省中山市,2
广东省佛山市,3
广东省广州市,10
广东省惠州市,1
广东省揭阳市,1
广东省汕头市,2
广东省深圳市,1
广西省柳州市,1
广西省桂林市,1
新疆维吾尔自治区乌鲁木齐市,3
江苏省南京市,5
江苏省南通市,2
江苏省徐州市,1
江苏省扬州市,2
江苏省无锡市,1
江苏省泰州市,2
江苏省苏州市,3
江苏省连云港市,1
江西省南昌市,1
河北省石家庄市,2
河北省邯郸市,2
河南省郑州市,2
浙江省台州市,1
浙江省嘉兴市,1
浙江省宁波市,4
浙江省杭州市,6
浙江省温州市,2
浙江省绍兴市,3
海南省海口市,1
湖北省武汉市,8
湖北省襄阳市,1
湖南省岳阳市,1
湖南省长沙市,2
澳门,1
福建省福州市,3
辽宁省大连市,3
辽宁省锦州市,1
辽宁省阜新市,1
辽宁省鞍山市,2
陕西省西安市,1
香港,1
